marka,seri,model,kasa_tipi
Fiat,Egea,1.4 Fire Urban,Sedan
Audi,A4,A4 Sedan 1.4 TFSI Design,Sedan
Audi,A4,A4 Sedan 40 TDI Quattro Advanced,Sedan
Audi,A6,A6 Sedan 45 TFSI Quattro Design,Sedan
Audi,A3,A3 Sedan 1.6 TDI Dynamic,Sedan
Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,Hatchback/5
Audi,A6,A6 Sedan 2.0 TDI Quattro,Sedan
BMW,3 Serisi,316i Standart,Sedan
Audi,A4,A4 Sedan 2.0 TDI Quattro Design,Sedan
BMW,3 Serisi,320i M Sport,Sedan
Citroen,C3,1.2 PureTech Shine,Hatchback/5
Audi,A4,A4 Sedan 1.8,Sedan
Audi,A3,A3 Sportback 35 TFSI Design,Hatchback/5
BMW,3 Serisi,320i ED Luxury Line,Sedan
Audi,A6,A6 Sedan 2.0 TFSI Quattro,Sedan
Audi,A5,A5 Sportback 1.4 TFSI Dynamic,Hatchback/5
BMW,5 Serisi,520i M Sport,Sedan
Fiat,Egea,1.4 Fire Easy Plus,Sedan
BMW,1 Serisi,116d ED EfficientDynamics,Hatchback/5
Audi,A6,A6 Sedan 40 TDI Design,Sedan
Audi,A6,A6 Sedan 40 TDI Quattro Design,Sedan
BMW,1 Serisi,116i Comfort,Hatchback/5
Audi,A6,A6 Sedan 40 TDI Quattro S Line,Sedan
Citroen,C-Elysée,1.6 HDi Attraction,Sedan
Dacia,Sandero,1.5 dCi Stepway,Hatchback/5
Chevrolet,Cruze,1.6 Sport,Sedan
Audi,A3,A3 Hatchback 1.4 TFSI,Hatchback/3
Audi,A6,A6 Sedan 40 TDI Quattro Sport,Sedan
Citroen,C-Elysée,1.5 BlueHDI Feel,Sedan
Audi,A4,A4 Sedan 1.4 TFSI Dynamic,Sedan
Audi,A3,A3 Sedan 35 TFSI Advanced,Sedan
Fiat,Palio,1.2 EL,Hatchback/5
Dacia,Jogger,1.0 Eco-G Expression,MPV
Fiat,Punto,1.4 Dynamic,Hatchback/5
Toyota,Avensis,1.6 Elegant Extra,Sedan
Chevrolet,Cruze,1.6 Design Edition Plus,Sedan
BMW,3 Serisi,320d Sport,Sedan
Fiat,Egea,1.3 Multijet Urban,Sedan
Dacia,Logan,1.5 dCi MCV Ambiance,Station wagon
BMW,5 Serisi,520i Luxury Line,Sedan
Citroen,C-Elysée,1.6 HDi Exclusive,Sedan
BMW,3 Serisi,320i ED 40th Year Edition,Sedan
Citroen,C-Elysée,1.2 Live,Sedan
BMW,4 Serisi,418i Gran Coupe M Sport,Coupe
Citroen,C3,1.2 PureTech Feel Bold,Hatchback/5
Citroen,C4,1.2 PureTech Max,Hatchback/5
Fiat,Egea,1.6 Multijet Easy,Sedan
Fiat,Marea,1.6 Liberty,Sedan
Mercedes - Benz,E,180 Premium,Sedan
Ford,Focus,1.5 TDCi Trend X,Sedan
Ford,Focus,1.5 Ti-VCT Trend X,Hatchback/5
Ford,Fiesta,1.4 TDCi Comfort,Hatchback/5
Fiat,Siena,1.6 HL,Sedan
Ford,Focus,1.6 TDCi Collection,Hatchback/5
Audi,A4,A4 Sedan 2.0 TDI,Sedan
Audi,A4,A4 Sedan 1.8 TFSI,Sedan
Renault,Clio,1.0 TCe Touch,Hatchback/5
Ford,C-Max,1.6 TDCi Titanium,MPV
Fiat,Punto,EVO 1.4 Dynamic,Hatchback/5
BMW,3 Serisi,320i Sport Line,Sedan
Renault,Clio,1.0 TCe Joy,Hatchback/5
Ford,Fiesta,1.4 TDCi Trend,Hatchback/5
Renault,Clio,1.5 dCi SportTourer Joy,Station wagon
Citroen,C4,1.2 PureTech You,Hatchback/5
Citroen,C4,1.2 PureTech Shine,Hatchback/5
Citroen,C4,1.6 e-HDi Confort,Hatchback/5
Citroen,C4,1.6 HDi SX,Hatchback/5
Hyundai,Getz,1.3 GLS,Hatchback/5
Renault,Taliant,1.0 T Touch,Sedan
Fiat,Punto,Grande 1.3 Multijet Dynamic,Hatchback/5
Ford,Fiesta,1.5 TDCi Trend X,Hatchback/5
Honda,Civic,1.5 i-VTEC Elegance,Sedan
Kia,Ceed,1.6 CRDi Comfort,Hatchback/5
Kia,Ceed,1.4 Live,Hatchback/5
Renault,Clio,1.5 dCi Touch,Hatchback/5
Renault,Fluence,1.5 dCi Privilege,Sedan
Renault,Megane,1.5 Blue DCI Touch,Sedan
Renault,Megane,1.5 dCi Touch,Sedan
Volkswagen,Golf,1.6 TDi Highline,Hatchback/5
Volkswagen,Passat,2.0 TDi Highline,Sedan
Audi,A4,A4 Sedan 1.4 TFSI Sport,Sedan
Citroen,C4 X,1.2 PureTech Shine,SUV
Citroen,C4 X,1.2 PureTech Shine Bold,SUV
Fiat,Linea,1.3 Multijet Active Plus,Sedan
Opel,Astra,1.3 CDTI Enjoy,Sedan
Honda,Civic,1.6i VTEC Executive,Sedan
Renault,Clio,1.5 dCi Authentique,Sedan
BMW,3 Serisi,320i ED M Sport,Sedan
BMW,5 Serisi,520i Comfort,Sedan
Fiat,Egea,1.3 Multijet Easy,Sedan
Audi,A5,A5 Sportback 40 TDI Quattro Advanced,-
Audi,A5,A5 Coupe 1.8 TFSI,Coupe
Fiat,Egea,1.4 Fire Easy,Sedan
Hyundai,i30,1.6 CRDi Elite,Hatchback/5
Opel,Corsa-e,Ultimate,Hatchback/5
Opel,Vectra,1.6 Comfort,Sedan
Renault,Clio,1.0 TCe Evolution,Hatchback/5
Renault,Clio,1.5 dCi Joy,Hatchback/5
Renault,Fluence,1.5 dCi Extreme Edition,Sedan
Renault,Megane,1.3 TCe Joy,Sedan
Renault,Symbol,1.5 dCi Joy,Sedan
Seat,Leon,1.2 TSI Style,Hatchback/5
Skoda,Scala,1.0 TSI Elite,Hatchback/5
Skoda,SuperB,1.6 TDI Comfort,Sedan
Volkswagen,Bora,1.6 Pacific,Sedan
